At time   0 ns, fw_rA_sel = x, fw_rB_sel = x, ALU_in_0 = xxxxxxxxxxxxxxxx, ALU_in_1 = xxxxxxxxxxxxxxxx, data_WB = xxxxxxxxxxxxxxxx, ID_EXM_reg[5:68] = xxxxxxxxxxxxxxxx, ID_EXM_reg[69:132] = xxxxxxxxxxxxxxxx
At time 354 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 5959585959595859, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 5959585959595859
At time 358 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 4000000040000000, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 4000000040000000
At time 362 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 2222222222222222, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 2222222222222222
At time 370 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 00002d5700002d57, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 00002d5700002d57
At time 374 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0000000000000000, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0000000000000000
At time 378 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = dfddffdfdfddffdf, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = dfddffdfdfddffdf
At time 382 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 5959595859595958, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 5959595859595958
At time 386 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 5958595959585959, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 5958595959585959
At time 390 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 0808080808080808, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 0808080808080808
At time 394 ns, fw_rA_sel = 0, fw_rB_sel = 0, ALU_in_0 = 0000000000000000, ALU_in_1 = 1d5a1d9e1d5a1d9e, data_WB = 0000000000000000, ID_EXM_reg[5:68] = 0000000000000000, ID_EXM_reg[69:132] = 1d5a1d9e1d5a1d9e
